"CodIstat","Comune","Year","From0To4","From5To9","From10To14","From15To19","From20To24","From25To29","From30To34","From35To39","From40To44","From45To49","From50To54","From55To59","From60To64","From65To69","From70To74","From75To79","From80To84","Over84","Total","Male","Female"
58001,"Affile",2002,70,89,114,102,91,90,107,125,119,110,97,84,82,74,91,83,53,54,1635,796,839
58001,"Affile",2003,64,82,123,99,88,101,100,121,114,123,103,91,74,76,85,94,52,52,1642,797,845
58001,"Affile",2004,66,70,115,109,97,91,99,114,119,118,108,94,73,80,82,93,56,51,1635,791,844
58001,"Affile",2005,59,72,104,117,100,88,92,111,124,116,115,93,74,84,82,82,67,51,1631,784,847
58001,"Affile",2006,60,77,92,114,100,96,88,112,118,119,109,98,79,82,81,81,66,52,1624,777,847
58001,"Affile",2007,60,71,87,116,107,81,92,106,129,118,108,100,84,87,69,73,71,55,1614,778,836
58001,"Affile",2008,58,60,83,115,100,88,100,97,118,111,120,101,93,79,70,70,77,54,1594,768,826
58001,"Affile",2009,48,68,74,114,104,98,91,103,109,119,115,106,93,74,75,75,67,64,1597,766,831
58001,"Affile",2010,50,63,73,106,105,98,97,97,104,122,115,114,89,76,75,79,52,68,1583,763,820
58001,"Affile",2011,51,57,79,95,104,96,96,93,103,120,119,107,100,77,73,70,52,70,1562,750,812
58002,"Agosta",2002,72,92,96,84,107,105,102,154,115,112,108,87,81,89,99,66,32,16,1617,784,833
58002,"Agosta",2003,62,80,99,87,96,106,103,138,118,119,95,95,84,97,85,72,37,18,1591,771,820
58002,"Agosta",2004,62,86,96,101,99,110,110,130,144,125,93,92,98,84,83,69,38,19,1639,801,838
58002,"Agosta",2005,59,79,87,101,103,103,122,138,149,123,102,90,94,87,89,70,36,17,1649,805,844
58002,"Agosta",2006,60,75,85,103,95,118,134,108,126,125,99,103,109,76,104,71,53,23,1667,816,851
58002,"Agosta",2007,63,68,89,100,92,117,100,122,166,120,116,98,90,82,90,84,46,28,1671,819,852
58002,"Agosta",2008,71,58,78,104,93,109,112,122,152,129,132,93,97,92,91,93,48,36,1710,841,869
58002,"Agosta",2009,75,65,84,90,107,106,124,125,146,144,127,94,98,96,83,90,50,38,1742,854,888
58002,"Agosta",2010,81,58,83,87,103,104,123,122,142,155,123,100,100,88,86,87,55,42,1739,849,890
58002,"Agosta",2011,86,61,79,84,106,99,132,109,149,157,130,107,102,86,74,91,66,50,1768,862,906
58003,"Albano Laziale",2002,1630,1644,1758,1791,2060,2661,2853,2949,2556,2426,2428,1808,1812,1682,1471,1178,628,487,33822,16260,17562
58003,"Albano Laziale",2003,1683,1627,1795,1788,1991,2576,2881,3049,2684,2470,2338,1971,1816,1679,1512,1242,717,513,34332,16483,17849
58003,"Albano Laziale",2004,1730,1650,1787,1817,1937,2576,2862,3107,2765,2551,2279,2152,1741,1720,1551,1237,834,510,34806,16759,18047
58003,"Albano Laziale",2005,1867,1729,1812,1837,1998,2532,2985,3178,2948,2639,2352,2312,1735,1773,1598,1291,910,526,36022,17328,18694
58003,"Albano Laziale",2006,1937,1774,1824,1889,1932,2533,3366,3357,3194,2743,2439,2506,1747,1827,1618,1326,933,563,37508,18043,19465
58003,"Albano Laziale",2007,2068,1822,1795,1928,1909,2470,3275,3422,3372,2751,2582,2513,1866,1849,1620,1368,978,627,38215,18404,19811
58003,"Albano Laziale",2008,2082,1886,1817,1949,1998,2393,3264,3545,3461,2900,2653,2438,2069,1837,1634,1369,1008,683,38986,18796,20190
58003,"Albano Laziale",2009,2083,1846,1814,1944,1998,2297,3145,3506,3471,2975,2737,2336,2275,1807,1648,1384,993,738,38997,18799,20198
58003,"Albano Laziale",2010,2120,1912,1833,1957,2049,2305,3016,3555,3501,3148,2779,2404,2357,1827,1688,1468,1058,793,39770,19167,20603
58003,"Albano Laziale",2011,2116,2000,1847,1940,2138,2287,2953,3611,3583,3302,2801,2468,2514,1748,1763,1494,1108,843,40516,19519,20997
58004,"Allumiere",2002,192,185,194,287,298,313,294,314,276,301,267,228,251,182,226,192,103,76,4179,2048,2131
58004,"Allumiere",2003,178,181,208,255,290,332,282,319,282,308,255,252,239,202,192,204,117,75,4171,2060,2111
58004,"Allumiere",2004,162,176,203,243,300,335,294,299,288,314,267,259,231,212,200,192,130,74,4179,2056,2123
58004,"Allumiere",2005,165,176,186,223,301,327,312,300,283,303,274,267,237,229,202,185,147,69,4186,2057,2129
58004,"Allumiere",2006,181,172,190,200,304,317,309,295,283,314,279,279,230,239,211,183,153,80,4219,2067,2152
58004,"Allumiere",2007,159,180,186,195,280,313,321,274,297,282,306,273,223,249,187,196,150,91,4162,2046,2116
58004,"Allumiere",2008,148,176,184,208,262,315,354,279,307,290,311,258,248,242,209,165,151,103,4210,2075,2135
58004,"Allumiere",2009,170,167,183,209,262,335,349,315,303,287,315,265,266,230,206,178,146,107,4293,2130,2163
58004,"Allumiere",2010,183,166,180,196,260,313,339,333,301,284,304,269,273,229,221,173,142,119,4285,2126,2159
58004,"Allumiere",2011,181,175,177,198,219,324,336,338,290,283,309,280,278,214,229,179,143,115,4268,2117,2151
58005,"Anguillara Sabazia",2002,715,798,791,789,878,1105,1262,1290,1155,1081,931,787,820,636,537,355,187,136,14253,6997,7256
58005,"Anguillara Sabazia",2003,763,773,868,786,876,1123,1282,1363,1178,1143,974,821,872,647,554,390,227,137,14777,7267,7510
58005,"Anguillara Sabazia",2004,856,801,910,858,925,1126,1395,1468,1287,1235,1015,915,887,736,595,434,267,138,15848,7810,8038
58005,"Anguillara Sabazia",2005,892,826,913,879,912,1121,1413,1494,1409,1243,1051,993,841,803,606,461,287,129,16273,8014,8259
58005,"Anguillara Sabazia",2006,975,868,936,888,870,1117,1497,1562,1501,1287,1102,1024,819,834,610,459,294,164,16807,8265,8542
58005,"Anguillara Sabazia",2007,968,897,914,928,874,1061,1451,1562,1572,1325,1179,1029,862,868,621,490,310,191,17102,8455,8647
58005,"Anguillara Sabazia",2008,936,957,914,978,895,1056,1427,1644,1637,1344,1196,1044,881,928,651,489,332,203,17512,8635,8877
58005,"Anguillara Sabazia",2009,1004,990,934,997,962,1063,1435,1724,1731,1428,1267,1055,957,885,733,513,354,224,18256,9002,9254
58005,"Anguillara Sabazia",2010,1025,1026,944,1003,966,1075,1387,1746,1740,1537,1295,1072,1010,848,792,536,376,235,18613,9191,9422
58005,"Anguillara Sabazia",2011,1030,1036,945,1018,986,1064,1327,1732,1731,1627,1343,1123,1031,842,818,572,396,261,18882,9341,9541
58006,"Anticoli Corrado",2002,27,37,42,52,44,46,53,72,75,64,59,45,61,72,62,52,23,25,911,452,459
58006,"Anticoli Corrado",2003,28,34,43,46,52,40,57,73,74,70,51,51,47,67,64,58,25,21,901,450,451
58006,"Anticoli Corrado",2004,37,30,41,51,51,34,57,76,77,72,59,52,49,60,61,59,29,24,919,453,466
58006,"Anticoli Corrado",2005,45,35,35,49,57,44,60,77,79,75,64,42,54,60,61,50,33,12,932,461,471
58006,"Anticoli Corrado",2006,44,37,31,49,49,57,55,74,88,71,66,47,53,64,58,55,39,12,949,467,482
58006,"Anticoli Corrado",2007,44,35,36,42,47,50,57,67,79,80,63,56,46,60,59,53,44,14,932,458,474
58006,"Anticoli Corrado",2008,43,38,34,42,48,59,45,67,80,84,71,46,51,51,55,53,40,19,926,458,468
58006,"Anticoli Corrado",2009,39,48,33,43,52,68,53,69,83,84,74,54,49,50,55,53,42,25,974,483,491
58006,"Anticoli Corrado",2010,36,51,39,37,47,69,51,73,84,85,74,63,43,49,60,51,39,26,977,490,487
58006,"Anticoli Corrado",2011,30,50,43,34,48,58,64,60,83,88,71,66,47,49,57,50,41,30,969,480,489
58007,"Anzio",2002,1758,1833,2054,2106,2320,2909,3066,3200,2760,2535,2636,2284,2198,1865,1494,1174,590,511,37293,17994,19299
58007,"Anzio",2003,1895,1817,2115,2138,2309,2822,3192,3305,2952,2583,2618,2412,2238,1929,1550,1258,702,518,38353,18542,19811
58007,"Anzio",2004,2112,1784,2153,2147,2393,2844,3208,3395,3170,2649,2625,2507,2256,2016,1587,1304,813,545,39508,19144,20364
58007,"Anzio",2005,2583,2130,2449,2458,2763,3143,3785,3933,3792,3085,3053,2996,2516,2376,1879,1513,1001,619,46074,22504,23570
58007,"Anzio",2006,2414,2154,2392,2449,2652,3128,4073,4059,4077,3427,3007,3258,2657,2510,1970,1489,981,661,47358,23213,24145
58007,"Anzio",2007,2492,2264,2334,2540,2602,3063,4086,4195,4199,3623,3085,3252,2819,2590,2085,1506,1027,722,48484,23749,24735
58007,"Anzio",2008,2628,2359,2308,2576,2651,3074,4011,4302,4354,3796,3156,3219,3004,2624,2114,1557,1094,752,49579,24314,25265
58007,"Anzio",2009,2785,2593,2358,2655,2776,3215,4098,4532,4605,4125,3393,3241,3207,2762,2241,1658,1119,829,52192,25700,26492
58007,"Anzio",2010,2847,2704,2438,2729,2873,3325,4042,4689,4784,4367,3569,3290,3328,2790,2371,1720,1145,913,53924,26661,27263
58007,"Anzio",2011,2945,2846,2474,2714,2987,3390,3981,4834,4869,4607,3801,3230,3525,2768,2492,1793,1199,958,55413,27466,27947
58008,"Arcinazzo Romano",2002,49,64,76,73,72,77,85,112,92,98,80,53,92,77,80,75,29,46,1330,650,680
58008,"Arcinazzo Romano",2003,51,61,82,81,74,74,86,107,116,100,86,56,98,75,81,75,41,41,1385,685,700
58008,"Arcinazzo Romano",2004,45,62,80,72,91,66,89,107,107,105,98,54,97,83,83,79,47,40,1405,693,712
58008,"Arcinazzo Romano",2005,43,56,82,76,91,71,80,102,117,110,94,74,81,93,77,79,57,33,1416,708,708
58008,"Arcinazzo Romano",2006,36,54,77,83,94,77,85,97,128,106,105,86,66,97,77,77,62,39,1446,720,726
58008,"Arcinazzo Romano",2007,34,53,71,81,89,83,87,95,130,112,115,91,59,102,78,78,66,40,1464,727,737
58008,"Arcinazzo Romano",2008,43,51,61,83,89,90,83,96,116,129,116,90,65,96,79,72,70,45,1474,732,742
58008,"Arcinazzo Romano",2009,45,44,64,81,83,106,75,97,115,125,123,98,71,94,83,75,64,55,1498,749,749
58008,"Arcinazzo Romano",2010,48,47,57,80,85,93,68,92,115,129,128,96,88,83,91,67,63,61,1491,742,749
58008,"Arcinazzo Romano",2011,49,41,58,79,83,92,75,89,109,130,119,110,88,63,91,68,61,61,1466,731,735
58009,"Ariccia",2002,893,873,962,977,1186,1434,1451,1510,1377,1250,1342,1138,994,846,662,488,276,189,17848,8771,9077
58009,"Ariccia",2003,881,844,948,956,1095,1356,1446,1470,1390,1224,1327,1186,999,861,658,526,298,204,17669,8667,9002
58009,"Ariccia",2004,891,880,911,958,1086,1365,1456,1489,1427,1219,1327,1249,991,887,682,511,348,208,17885,8764,9121
58009,"Ariccia",2005,912,880,937,929,1054,1288,1535,1467,1456,1271,1267,1286,1002,888,728,516,372,207,17995,8852,9143
