"X","CodIstat","Comune","Anno","Total","Male","Female"
1,58001,"Affile",2002,1635,796,839
2,58001,"Affile",2003,1642,797,845
3,58001,"Affile",2004,1635,791,844
4,58001,"Affile",2005,1631,784,847
5,58001,"Affile",2006,1624,777,847
6,58001,"Affile",2007,1614,778,836
7,58001,"Affile",2008,1594,768,826
8,58001,"Affile",2009,1597,766,831
9,58001,"Affile",2010,1583,763,820
10,58001,"Affile",2011,1562,750,812
11,58002,"Agosta",2002,1617,784,833
12,58002,"Agosta",2003,1591,771,820
13,58002,"Agosta",2004,1639,801,838
14,58002,"Agosta",2005,1649,805,844
15,58002,"Agosta",2006,1667,816,851
16,58002,"Agosta",2007,1671,819,852
17,58002,"Agosta",2008,1710,841,869
18,58002,"Agosta",2009,1742,854,888
19,58002,"Agosta",2010,1739,849,890
20,58002,"Agosta",2011,1768,862,906
21,58003,"Albano Laziale",2002,33822,16260,17562
22,58003,"Albano Laziale",2003,34332,16483,17849
23,58003,"Albano Laziale",2004,34806,16759,18047
24,58003,"Albano Laziale",2005,36022,17328,18694
25,58003,"Albano Laziale",2006,37508,18043,19465
26,58003,"Albano Laziale",2007,38215,18404,19811
27,58003,"Albano Laziale",2008,38986,18796,20190
28,58003,"Albano Laziale",2009,38997,18799,20198
29,58003,"Albano Laziale",2010,39770,19167,20603
30,58003,"Albano Laziale",2011,40516,19519,20997
31,58004,"Allumiere",2002,4179,2048,2131
32,58004,"Allumiere",2003,4171,2060,2111
33,58004,"Allumiere",2004,4179,2056,2123
34,58004,"Allumiere",2005,4186,2057,2129
35,58004,"Allumiere",2006,4219,2067,2152
36,58004,"Allumiere",2007,4162,2046,2116
37,58004,"Allumiere",2008,4210,2075,2135
38,58004,"Allumiere",2009,4293,2130,2163
39,58004,"Allumiere",2010,4285,2126,2159
40,58004,"Allumiere",2011,4268,2117,2151
41,58005,"Anguillara Sabazia",2002,14253,6997,7256
42,58005,"Anguillara Sabazia",2003,14777,7267,7510
43,58005,"Anguillara Sabazia",2004,15848,7810,8038
44,58005,"Anguillara Sabazia",2005,16273,8014,8259
45,58005,"Anguillara Sabazia",2006,16807,8265,8542
46,58005,"Anguillara Sabazia",2007,17102,8455,8647
47,58005,"Anguillara Sabazia",2008,17512,8635,8877
48,58005,"Anguillara Sabazia",2009,18256,9002,9254
49,58005,"Anguillara Sabazia",2010,18613,9191,9422
50,58005,"Anguillara Sabazia",2011,18882,9341,9541
51,58006,"Anticoli Corrado",2002,911,452,459
52,58006,"Anticoli Corrado",2003,901,450,451
53,58006,"Anticoli Corrado",2004,919,453,466
54,58006,"Anticoli Corrado",2005,932,461,471
55,58006,"Anticoli Corrado",2006,949,467,482
56,58006,"Anticoli Corrado",2007,932,458,474
57,58006,"Anticoli Corrado",2008,926,458,468
58,58006,"Anticoli Corrado",2009,974,483,491
59,58006,"Anticoli Corrado",2010,977,490,487
60,58006,"Anticoli Corrado",2011,969,480,489
61,58007,"Anzio",2002,37293,17994,19299
62,58007,"Anzio",2003,38353,18542,19811
63,58007,"Anzio",2004,39508,19144,20364
64,58007,"Anzio",2005,46074,22504,23570
65,58007,"Anzio",2006,47358,23213,24145
66,58007,"Anzio",2007,48484,23749,24735
67,58007,"Anzio",2008,49579,24314,25265
68,58007,"Anzio",2009,52192,25700,26492
69,58007,"Anzio",2010,53924,26661,27263
70,58007,"Anzio",2011,55413,27466,27947
71,58008,"Arcinazzo Romano",2002,1330,650,680
72,58008,"Arcinazzo Romano",2003,1385,685,700
73,58008,"Arcinazzo Romano",2004,1405,693,712
74,58008,"Arcinazzo Romano",2005,1416,708,708
75,58008,"Arcinazzo Romano",2006,1446,720,726
76,58008,"Arcinazzo Romano",2007,1464,727,737
77,58008,"Arcinazzo Romano",2008,1474,732,742
78,58008,"Arcinazzo Romano",2009,1498,749,749
79,58008,"Arcinazzo Romano",2010,1491,742,749
80,58008,"Arcinazzo Romano",2011,1466,731,735
81,58117,"Ardea",2002,27420,13550,13870
82,58117,"Ardea",2003,29012,14323,14689
83,58117,"Ardea",2004,30472,15117,15355
84,58117,"Ardea",2005,33195,16540,16655
85,58117,"Ardea",2006,35263,17607,17656
86,58117,"Ardea",2007,36846,18442,18404
87,58117,"Ardea",2008,39170,19561,19609
88,58117,"Ardea",2009,41077,20502,20575
89,58117,"Ardea",2010,41953,20953,21000
90,58117,"Ardea",2011,42879,21439,21440
91,58009,"Ariccia",2002,17848,8771,9077
92,58009,"Ariccia",2003,17669,8667,9002
93,58009,"Ariccia",2004,17885,8764,9121
94,58009,"Ariccia",2005,17995,8852,9143
